,date,hour,holiday,weekday,count
0,2018-01-01,0,No,Monday,34
1,2018-01-01,1,No,Monday,49
2,2018-01-01,2,No,Monday,37
3,2018-01-01,3,No,Monday,9
4,2018-01-01,4,No,Monday,12
5,2018-01-01,5,No,Monday,8
6,2018-01-01,6,No,Monday,9
7,2018-01-01,7,No,Monday,11
8,2018-01-01,8,No,Monday,19
9,2018-01-01,9,No,Monday,31
10,2018-01-01,10,No,Monday,61
11,2018-01-01,11,No,Monday,97
12,2018-01-01,12,No,Monday,104
13,2018-01-01,13,No,Monday,116
14,2018-01-01,14,No,Monday,113
15,2018-01-01,15,No,Monday,124
16,2018-01-01,16,No,Monday,88
17,2018-01-01,17,No,Monday,87
18,2018-01-01,18,No,Monday,51
19,2018-01-01,19,No,Monday,56
20,2018-01-01,20,No,Monday,41
21,2018-01-01,21,No,Monday,27
22,2018-01-01,22,No,Monday,20
23,2018-01-01,23,No,Monday,9
24,2018-01-02,0,No,Tuesday,3
25,2018-01-02,1,No,Tuesday,6
26,2018-01-02,2,No,Tuesday,4
27,2018-01-02,3,No,Tuesday,4
28,2018-01-02,4,No,Tuesday,10
29,2018-01-02,5,No,Tuesday,43
30,2018-01-02,6,No,Tuesday,135
31,2018-01-02,7,No,Tuesday,284
32,2018-01-02,8,No,Tuesday,501
33,2018-01-02,9,No,Tuesday,257
34,2018-01-02,10,No,Tuesday,108
35,2018-01-02,11,No,Tuesday,124
36,2018-01-02,12,No,Tuesday,158
37,2018-01-02,13,No,Tuesday,157
38,2018-01-02,14,No,Tuesday,140
39,2018-01-02,15,No,Tuesday,209
40,2018-01-02,16,No,Tuesday,344
41,2018-01-02,17,No,Tuesday,493
42,2018-01-02,18,No,Tuesday,371
43,2018-01-02,19,No,Tuesday,212
44,2018-01-02,20,No,Tuesday,100
45,2018-01-02,21,No,Tuesday,70
46,2018-01-02,22,No,Tuesday,43
47,2018-01-02,23,No,Tuesday,16
48,2018-01-03,0,No,Wednesday,9
49,2018-01-03,1,No,Wednesday,2
50,2018-01-03,2,No,Wednesday,3
51,2018-01-03,3,No,Wednesday,5
52,2018-01-03,4,No,Wednesday,12
53,2018-01-03,5,No,Wednesday,47
54,2018-01-03,6,No,Wednesday,145
55,2018-01-03,7,No,Wednesday,342
56,2018-01-03,8,No,Wednesday,626
57,2018-01-03,9,No,Wednesday,322
58,2018-01-03,10,No,Wednesday,152
59,2018-01-03,11,No,Wednesday,144
60,2018-01-03,12,No,Wednesday,189
61,2018-01-03,13,No,Wednesday,177
62,2018-01-03,14,No,Wednesday,162
63,2018-01-03,15,No,Wednesday,261
64,2018-01-03,16,No,Wednesday,368
65,2018-01-03,17,No,Wednesday,669
66,2018-01-03,18,No,Wednesday,521
67,2018-01-03,19,No,Wednesday,256
68,2018-01-03,20,No,Wednesday,142
69,2018-01-03,21,No,Wednesday,100
70,2018-01-03,22,No,Wednesday,67
71,2018-01-03,23,No,Wednesday,27
72,2018-01-04,0,No,Thursday,9
73,2018-01-04,1,No,Thursday,6
74,2018-01-04,3,No,Thursday,3
75,2018-01-04,4,No,Thursday,7
76,2018-01-04,5,No,Thursday,22
77,2018-01-04,6,No,Thursday,46
78,2018-01-04,7,No,Thursday,87
79,2018-01-04,8,No,Thursday,206
80,2018-01-04,9,No,Thursday,185
81,2018-01-04,10,No,Thursday,158
82,2018-01-04,11,No,Thursday,107
83,2018-01-04,12,No,Thursday,91
84,2018-01-04,13,No,Thursday,88
85,2018-01-04,14,No,Thursday,95
86,2018-01-04,15,No,Thursday,109
87,2018-01-04,16,No,Thursday,187
88,2018-01-04,17,No,Thursday,345
89,2018-01-04,18,No,Thursday,280
90,2018-01-04,19,No,Thursday,161
91,2018-01-04,20,No,Thursday,68
92,2018-01-04,21,No,Thursday,55
93,2018-01-04,22,No,Thursday,31
94,2018-01-04,23,No,Thursday,22
95,2018-01-05,0,No,Friday,9
96,2018-01-05,1,No,Friday,3
97,2018-01-05,4,No,Friday,4
98,2018-01-05,5,No,Friday,33
99,2018-01-05,6,No,Friday,68
100,2018-01-05,7,No,Friday,172
101,2018-01-05,8,No,Friday,387
102,2018-01-05,9,No,Friday,185
103,2018-01-05,10,No,Friday,102
104,2018-01-05,11,No,Friday,94
105,2018-01-05,12,No,Friday,134
106,2018-01-05,13,No,Friday,111
107,2018-01-05,14,No,Friday,107
108,2018-01-05,15,No,Friday,149
109,2018-01-05,16,No,Friday,235
110,2018-01-05,17,No,Friday,365
111,2018-01-05,18,No,Friday,248
112,2018-01-05,19,No,Friday,128
113,2018-01-05,20,No,Friday,65
114,2018-01-05,21,No,Friday,49
115,2018-01-05,22,No,Friday,38
116,2018-01-05,23,No,Friday,23
117,2018-01-06,0,No,Saturday,16
118,2018-01-06,1,No,Saturday,12
119,2018-01-06,2,No,Saturday,5
120,2018-01-06,3,No,Saturday,6
121,2018-01-06,4,No,Saturday,3
122,2018-01-06,5,No,Saturday,5
123,2018-01-06,6,No,Saturday,5
124,2018-01-06,7,No,Saturday,21
125,2018-01-06,8,No,Saturday,55
126,2018-01-06,9,No,Saturday,88
127,2018-01-06,10,No,Saturday,125
128,2018-01-06,11,No,Saturday,132
129,2018-01-06,12,No,Saturday,143
130,2018-01-06,13,No,Saturday,127
131,2018-01-06,14,No,Saturday,121
132,2018-01-06,15,No,Saturday,143
133,2018-01-06,16,No,Saturday,114
134,2018-01-06,17,No,Saturday,73
135,2018-01-06,18,No,Saturday,96
136,2018-01-06,19,No,Saturday,54
137,2018-01-06,20,No,Saturday,53
138,2018-01-06,21,No,Saturday,37
139,2018-01-06,22,No,Saturday,36
140,2018-01-06,23,No,Saturday,19
141,2018-01-07,0,No,Sunday,24
142,2018-01-07,1,No,Sunday,12
143,2018-01-07,2,No,Sunday,13
144,2018-01-07,3,No,Sunday,8
145,2018-01-07,4,No,Sunday,6
146,2018-01-07,5,No,Sunday,6
147,2018-01-07,6,No,Sunday,5
148,2018-01-07,7,No,Sunday,27
149,2018-01-07,8,No,Sunday,50
150,2018-01-07,9,No,Sunday,77
151,2018-01-07,10,No,Sunday,125
152,2018-01-07,11,No,Sunday,120
153,2018-01-07,12,No,Sunday,175
154,2018-01-07,13,No,Sunday,169
155,2018-01-07,14,No,Sunday,161
156,2018-01-07,15,No,Sunday,167
157,2018-01-07,16,No,Sunday,154
158,2018-01-07,17,No,Sunday,140
159,2018-01-07,18,No,Sunday,98
160,2018-01-07,19,No,Sunday,71
161,2018-01-07,20,No,Sunday,62
162,2018-01-07,21,No,Sunday,37
163,2018-01-07,22,No,Sunday,29
164,2018-01-07,23,No,Sunday,17
165,2018-01-08,0,No,Monday,7
166,2018-01-08,1,No,Monday,3
167,2018-01-08,2,No,Monday,5
168,2018-01-08,3,No,Monday,5
169,2018-01-08,4,No,Monday,9
170,2018-01-08,5,No,Monday,54
171,2018-01-08,6,No,Monday,169
172,2018-01-08,7,No,Monday,413
173,2018-01-08,8,No,Monday,717
174,2018-01-08,9,No,Monday,306
175,2018-01-08,10,No,Monday,154
176,2018-01-08,11,No,Monday,152
177,2018-01-08,12,No,Monday,236
178,2018-01-08,13,No,Monday,188
179,2018-01-08,14,No,Monday,201
180,2018-01-08,15,No,Monday,206
181,2018-01-08,16,No,Monday,304
182,2018-01-08,17,No,Monday,401
183,2018-01-08,18,No,Monday,221
184,2018-01-08,19,No,Monday,131
185,2018-01-08,20,No,Monday,68
186,2018-01-08,21,No,Monday,62
187,2018-01-08,22,No,Monday,44
188,2018-01-08,23,No,Monday,24
189,2018-01-09,0,No,Tuesday,24
190,2018-01-09,1,No,Tuesday,5
191,2018-01-09,2,No,Tuesday,9
192,2018-01-09,3,No,Tuesday,4
193,2018-01-09,4,No,Tuesday,6
194,2018-01-09,5,No,Tuesday,50
195,2018-01-09,6,No,Tuesday,155
196,2018-01-09,7,No,Tuesday,352
197,2018-01-09,8,No,Tuesday,716
198,2018-01-09,9,No,Tuesday,351
199,2018-01-09,10,No,Tuesday,163
200,2018-01-09,11,No,Tuesday,165
201,2018-01-09,12,No,Tuesday,217
202,2018-01-09,13,No,Tuesday,247
203,2018-01-09,14,No,Tuesday,199
204,2018-01-09,15,No,Tuesday,328
205,2018-01-09,16,No,Tuesday,531
206,2018-01-09,17,No,Tuesday,907
207,2018-01-09,18,No,Tuesday,729
208,2018-01-09,19,No,Tuesday,400
209,2018-01-09,20,No,Tuesday,268
210,2018-01-09,21,No,Tuesday,153
211,2018-01-09,22,No,Tuesday,103
212,2018-01-09,23,No,Tuesday,42
213,2018-01-10,0,No,Wednesday,13
214,2018-01-10,1,No,Wednesday,8
215,2018-01-10,2,No,Wednesday,8
216,2018-01-10,3,No,Wednesday,4
217,2018-01-10,4,No,Wednesday,10
218,2018-01-10,5,No,Wednesday,71
219,2018-01-10,6,No,Wednesday,229
220,2018-01-10,7,No,Wednesday,609
221,2018-01-10,8,No,Wednesday,978
222,2018-01-10,9,No,Wednesday,401
223,2018-01-10,10,No,Wednesday,186
224,2018-01-10,11,No,Wednesday,201
225,2018-01-10,12,No,Wednesday,261
226,2018-01-10,13,No,Wednesday,233
227,2018-01-10,14,No,Wednesday,230
228,2018-01-10,15,No,Wednesday,338
229,2018-01-10,16,No,Wednesday,550
230,2018-01-10,17,No,Wednesday,926
