,date,month,hour,holiday,weekday,Member type,count
0,2018-01-01,January,0,No,Monday,Casual,6
1,2018-01-01,January,0,No,Monday,Member,28
2,2018-01-01,January,1,No,Monday,Casual,11
3,2018-01-01,January,1,No,Monday,Member,38
4,2018-01-01,January,2,No,Monday,Casual,7
5,2018-01-01,January,2,No,Monday,Member,30
6,2018-01-01,January,3,No,Monday,Casual,1
7,2018-01-01,January,3,No,Monday,Member,8
8,2018-01-01,January,4,No,Monday,Casual,2
9,2018-01-01,January,4,No,Monday,Member,10
10,2018-01-01,January,5,No,Monday,Casual,3
11,2018-01-01,January,5,No,Monday,Member,5
12,2018-01-01,January,6,No,Monday,Member,9
13,2018-01-01,January,7,No,Monday,Casual,1
14,2018-01-01,January,7,No,Monday,Member,10
15,2018-01-01,January,8,No,Monday,Member,19
16,2018-01-01,January,9,No,Monday,Casual,1
17,2018-01-01,January,9,No,Monday,Member,30
18,2018-01-01,January,10,No,Monday,Casual,6
19,2018-01-01,January,10,No,Monday,Member,55
20,2018-01-01,January,11,No,Monday,Casual,11
21,2018-01-01,January,11,No,Monday,Member,86
22,2018-01-01,January,12,No,Monday,Casual,21
23,2018-01-01,January,12,No,Monday,Member,83
24,2018-01-01,January,13,No,Monday,Casual,19
25,2018-01-01,January,13,No,Monday,Member,97
26,2018-01-01,January,14,No,Monday,Casual,17
27,2018-01-01,January,14,No,Monday,Member,96
28,2018-01-01,January,15,No,Monday,Casual,12
29,2018-01-01,January,15,No,Monday,Member,112
30,2018-01-01,January,16,No,Monday,Casual,6
31,2018-01-01,January,16,No,Monday,Member,82
32,2018-01-01,January,17,No,Monday,Casual,6
33,2018-01-01,January,17,No,Monday,Member,81
34,2018-01-01,January,18,No,Monday,Casual,6
35,2018-01-01,January,18,No,Monday,Member,45
36,2018-01-01,January,19,No,Monday,Casual,2
37,2018-01-01,January,19,No,Monday,Member,54
38,2018-01-01,January,20,No,Monday,Casual,2
39,2018-01-01,January,20,No,Monday,Member,39
40,2018-01-01,January,21,No,Monday,Casual,3
41,2018-01-01,January,21,No,Monday,Member,24
42,2018-01-01,January,22,No,Monday,Casual,2
43,2018-01-01,January,22,No,Monday,Member,18
44,2018-01-01,January,23,No,Monday,Member,9
45,2018-01-02,January,0,No,Tuesday,Member,3
46,2018-01-02,January,1,No,Tuesday,Casual,3
47,2018-01-02,January,1,No,Tuesday,Member,3
48,2018-01-02,January,2,No,Tuesday,Casual,1
49,2018-01-02,January,2,No,Tuesday,Member,3
50,2018-01-02,January,3,No,Tuesday,Member,4
51,2018-01-02,January,4,No,Tuesday,Member,10
52,2018-01-02,January,5,No,Tuesday,Member,43
53,2018-01-02,January,6,No,Tuesday,Casual,1
54,2018-01-02,January,6,No,Tuesday,Member,134
55,2018-01-02,January,7,No,Tuesday,Casual,5
56,2018-01-02,January,7,No,Tuesday,Member,279
57,2018-01-02,January,8,No,Tuesday,Casual,7
58,2018-01-02,January,8,No,Tuesday,Member,494
59,2018-01-02,January,9,No,Tuesday,Casual,4
60,2018-01-02,January,9,No,Tuesday,Member,253
61,2018-01-02,January,10,No,Tuesday,Casual,6
62,2018-01-02,January,10,No,Tuesday,Member,102
63,2018-01-02,January,11,No,Tuesday,Casual,9
64,2018-01-02,January,11,No,Tuesday,Member,115
65,2018-01-02,January,12,No,Tuesday,Casual,19
66,2018-01-02,January,12,No,Tuesday,Member,139
67,2018-01-02,January,13,No,Tuesday,Casual,17
68,2018-01-02,January,13,No,Tuesday,Member,140
69,2018-01-02,January,14,No,Tuesday,Casual,20
70,2018-01-02,January,14,No,Tuesday,Member,120
71,2018-01-02,January,15,No,Tuesday,Casual,21
72,2018-01-02,January,15,No,Tuesday,Member,188
73,2018-01-02,January,16,No,Tuesday,Casual,25
74,2018-01-02,January,16,No,Tuesday,Member,319
75,2018-01-02,January,17,No,Tuesday,Casual,13
76,2018-01-02,January,17,No,Tuesday,Member,480
77,2018-01-02,January,18,No,Tuesday,Casual,5
78,2018-01-02,January,18,No,Tuesday,Member,366
79,2018-01-02,January,19,No,Tuesday,Casual,8
80,2018-01-02,January,19,No,Tuesday,Member,204
81,2018-01-02,January,20,No,Tuesday,Casual,8
82,2018-01-02,January,20,No,Tuesday,Member,92
83,2018-01-02,January,21,No,Tuesday,Casual,5
84,2018-01-02,January,21,No,Tuesday,Member,65
85,2018-01-02,January,22,No,Tuesday,Casual,2
86,2018-01-02,January,22,No,Tuesday,Member,41
87,2018-01-02,January,23,No,Tuesday,Member,16
88,2018-01-03,January,0,No,Wednesday,Casual,1
89,2018-01-03,January,0,No,Wednesday,Member,8
90,2018-01-03,January,1,No,Wednesday,Member,2
91,2018-01-03,January,2,No,Wednesday,Member,3
92,2018-01-03,January,3,No,Wednesday,Member,5
93,2018-01-03,January,4,No,Wednesday,Member,12
